655, 115, 592900
26, 760, 617796
282, 251, 284089
229, 143, 138384
755, 105, 739600
693, 759, 2108304
914, 559, 2169729
90, 605, 483025
433, 33, 217156
31, 96, 16129
224, 239, 214369
518, 617, 1288225
28, 575, 363609
204, 734, 879844
666, 719, 1918225
559, 430, 978121
226, 460, 470596
604, 285, 790321
829, 891, 2958400
7, 778, 616225
826, 164, 980100
715, 433, 1317904
349, 285, 401956
160, 221, 145161
981, 782, 3108169
345, 105, 202500
95, 390, 235225
100, 368, 219024
868, 353, 1490841
619, 271, 792100
827, 45, 760384
748, 471, 1485961
550, 128, 459684
997, 945, 3771364
388, 81, 219961
566, 301, 751689
850, 644, 2232036
634, 907, 2374681
883, 371, 1572516
592, 197, 622521
722, 72, 630436
47, 678, 525625
234, 792, 1052676
297, 82, 143641
876, 239, 1243225
888, 104, 984064
390, 285, 455625
465, 651, 1245456
855, 374, 1510441
167, 380, 299209
364, 215, 335241
687, 274, 923521
719, 960, 2819041
700, 664, 1860496
74, 624, 487204
651, 176, 683929
547, 747, 1674436
251, 168, 175561
474, 389, 744769
277, 948, 1500625
656, 705, 1852321
571, 225, 633616
702, 333, 1071225
864, 787, 2725801
795, 58, 727609
235, 842, 1159929
33, 825, 736164
324, 411, 540225
275, 68, 117649
217, 936, 1329409
966, 581, 2393209
898, 736, 2669956
323, 218, 292681
672, 512, 1401856
406, 906, 1721344
937, 659, 2547216
470, 147, 380689
272, 143, 172225
253, 763, 1032256
575, 552, 1270129
270, 765, 1071225
599, 439, 1077444
920, 598, 2304324
409, 371, 608400
225, 142, 134689
522, 506, 1056784
94, 774, 753424
49, 882, 866761
113, 157, 72900
643, 164, 651249
812, 697, 2277081
433, 611, 1089936
66, 395, 212521
391, 611, 1004004
480, 542, 1044484
258, 995, 1570009
567, 882, 2099601
966, 12, 956484
697, 739, 2062096
118, 699, 667489
907, 550, 2122849
769, 274, 1087849
788, 657, 2088025
349, 115, 215296
301, 446, 558009
162, 465, 393129
4, 977, 962361
740, 897, 2679769
737, 270, 1014049
996, 513, 2277081
781, 183, 929296
520, 935, 2117025
109, 892, 1002001
641, 306, 896809
862, 655, 2301289
520, 624, 1308736
204, 157, 130321
383, 781, 1354896
166, 553, 516961
977, 798, 3150625
945, 544, 2217121
941, 1, 887364
614, 332, 894916
501, 20, 271441
115, 952, 1138489
372, 900, 1617984
852, 827, 2819041
315, 246, 314721
60, 247, 94249
900, 581, 2193361
970, 81, 1104601
88, 750, 702244
498, 836, 1779556
71, 779, 722500
546, 785, 1771561
129, 132, 68121
676, 487, 1352569
970, 563, 2350089
170, 272, 195364
541, 894, 2059225
622, 434, 1115136
988, 217, 1452025
952, 553, 2265025
774, 748, 2316484
707, 206, 833569
731, 320, 1104601
409, 688, 1203409
666, 383, 1100401
449, 922, 1879641
530, 463, 986049
124, 254, 142884
231, 66, 88209
347, 22, 136161
603, 568, 1371241
236, 603, 703921
226, 8, 54756
73, 725, 636804
647, 61, 501264
235, 70, 93025
928, 33, 923521
881, 339, 1488400
73, 527, 360000
244, 286, 280900
686, 498, 1401856
220, 553, 597529
136, 741, 769129
958, 904, 3467044
585, 591, 1382976
485, 249, 538756
804, 485, 1661521
827, 417, 1547536
195, 97, 85264
100, 675, 600625
442, 363, 648025
434, 421, 731025
479, 885, 1860496
747, 56, 644809
690, 670, 1849600
662, 101, 582169
63, 413, 226576
746, 348, 1196836
820, 883, 2900209
112, 255, 134689
197, 195, 153664
550, 460, 1020100
144, 433, 332929
188, 286, 224676
474, 256, 532900
896, 946, 3392964
78, 454, 283024
828, 883, 2927521
877, 564, 2076481
101, 52, 23409
668, 554, 1493284
857, 16, 762129
993, 96, 1185921
949, 772, 2961841
870, 243, 1238769
171, 417, 345744
498, 493, 982081
219, 886, 1221025
411, 925, 1784896
61, 169, 52900
389, 3, 153664
400, 272, 451584
949, 803, 3069504
804, 466, 1612900
293, 434, 528529
714, 981, 2873025
749, 803, 2408704
570, 678, 1557504
736, 499, 1525225
159, 195, 125316
304, 223, 277729
992, 60, 1106704
594, 754, 1817104
556, 63, 383161
766, 322, 1183744
59, 52, 12321
599, 489, 1183744
515, 942, 2122849
874, 544, 2010724
162, 59, 48841
984, 521, 2265025
83, 872, 912025
191, 71, 68644
610, 70, 462400
692, 883, 2480625
241, 414, 429025
123, 965, 1183744
912, 584, 2238016
253, 593, 715716
609, 41, 422500
635, 84, 516961
